startnode,rating,endnode
6,4,2
4,7,3
13,8,10
7,1,5
2,5,21
2,5,20
21,5,2
21,8,1
21,8,10
21,9,8
17,1,23
10,8,1
10,7,6
10,8,21
10,1,8
10,10,25
10,7,2
10,7,3
4,1,26
26,1,4
5,3,1
5,3,6
1,4,5
2,5,4
17,2,13
13,2,17
13,2,29
17,2,20
4,1,31
31,2,4
32,1,6
13,8,1
7,1,34
1,1,32
34,1,13
7,3,6
1,9,17
31,3,1
35,2,6
17,9,1
8,3,1
7,2,29
1,2,20
37,1,44
44,1,37
39,1,44
23,1,17
23,1,19
36,1,46
46,1,36
47,2,1
13,1,7
7,1,13
29,1,51
52,1,29
45,2,53
53,2,45
45,2,54
54,2,45
1,1,54
54,1,1
7,6,3
41,2,36
7,3,36
36,4,7
7,4,53
7,1,55
55,1,7
29,2,7
4,5,57
21,2,39
4,2,61
61,3,4
61,8,20
61,2,2
65,2,35
56,2,1
4,2,66
21,5,7
7,4,20
35,1,69
35,1,70
39,2,69
69,2,39
1,1,71
71,8,1
74,1,1
41,1,75
68,1,64
76,1,7
7,1,76
7,5,19
32,1,23
23,1,32
23,1,20
61,4,77
78,1,1
60,1,41
60,1,78
35,1,79
79,1,35
41,1,4
4,1,41
1,2,68
68,2,1
69,3,28
28,3,69
64,1,80
17,1,81
81,1,17
69,1,62
41,1,104
41,1,86
86,1,41
104,1,41
4,1,87
87,1,4
81,2,69
41,1,89
87,1,60
89,2,7
41,1,70
94,1,64
70,1,95
95,3,70
70,1,35
39,3,17
17,1,39
70,1,96
15,2,97
99,1,69
88,3,7
1,1,81
70,1,15
15,1,70
81,1,1
1,1,101
62,2,54
54,2,62
101,1,1
101,1,103
80,2,25
4,1,39
41,1,105
72,4,4
96,1,106
106,1,96
81,2,107
107,3,81
60,1,108
108,1,60
97,1,68
68,1,97
7,1,109
68,1,41
23,5,7
7,1,111
111,1,7
64,2,112
112,2,64
112,1,77
112,2,115
112,4,60
109,1,39
39,1,109
6,2,114
6,1,32
39,1,114
47,1,7
119,10,1
100,4,7
7,2,100
122,1,7
23,1,108
108,1,23
104,1,108
115,3,77
119,10,127
1,2,76
54,1,129
7,2,116
54,2,13
13,2,54
77,3,39
77,1,15
77,3,1
77,1,23
77,3,115
77,1,112
77,1,131
129,1,54
54,2,2
127,10,119
127,1,132
132,2,127
7,1,133
133,1,7
105,1,41
41,1,64
64,1,41
57,1,110
113,2,125
7,5,54
113,2,23
113,2,135
135,2,113
36,2,78
2,2,132
132,2,2
96,4,15
110,1,57
110,1,41
132,1,28
111,1,1
132,1,134
132,1,100
100,1,132
15,3,96
137,1,41
137,1,7
1,1,138
138,1,1
132,1,138
138,1,132
100,1,64
7,5,60
7,2,141
141,5,134
141,3,7
132,5,21
139,1,132
132,1,139
78,3,132
132,1,142
110,1,142
110,1,1
142,1,110
110,2,76
2,1,142
110,1,143
143,1,110
75,1,132
110,1,134
134,1,110
132,1,144
144,1,132
1,1,145
145,1,1
41,1,148
148,1,41
23,4,113
21,2,132
93,2,81
78,1,149
149,1,150
132,1,75
2,1,110
110,1,2
144,1,110
132,1,152
81,3,93
152,1,154
110,1,155
156,4,132
113,3,132
41,1,157
132,1,149
113,1,158
56,3,7
41,1,132
153,2,104
132,1,41
114,2,1
1,2,111
60,1,160
160,1,60
149,1,114
114,1,146
78,1,146
122,1,78
132,3,78
146,1,114
114,1,21
161,3,7
132,1,104
104,1,132
132,2,157
157,2,132
1,9,7
132,1,162
162,1,132
163,1,41
41,1,162
162,1,41
2,1,149
75,2,41
143,1,80
165,1,1
166,1,152
2,1,166
166,1,2
41,1,167
167,1,41
41,1,168
132,2,169
81,1,149
142,1,170
170,1,142
166,1,64
113,1,166
166,1,113
60,2,104
60,1,172
113,2,173
173,1,113
41,1,174
172,1,60
175,2,7
45,3,176
161,1,144
144,1,161
161,1,177
177,1,161
149,1,129
144,1,178
75,2,1
75,2,62
62,2,75
143,1,173
173,1,143
166,1,180
180,1,166
174,1,41
149,3,81
144,1,143
143,1,144
2,1,156
1,6,19
132,1,181
181,1,132
135,1,181
159,1,132
143,1,135
148,1,182
182,1,148
144,1,181
183,2,181
183,1,143
142,1,64
7,2,184
80,1,7
7,1,78
78,1,7
147,1,179
179,1,147
7,1,185
185,1,7
176,1,45
186,1,183
187,1,135
33,2,7
7,2,33
7,1,188
188,1,7
104,2,189
189,2,104
104,1,190
190,1,104
104,1,191
191,1,104
113,1,104
110,1,7
171,1,104
143,1,192
192,1,143
60,2,159
159,2,60
2,8,1
57,2,25
60,2,178
60,1,193
193,1,60
60,1,194
194,1,178
194,1,60
178,1,194
195,1,7
29,2,60
62,1,196
196,1,62
60,4,191
7,1,156
156,1,7
60,1,198
60,1,199
7,2,200
200,2,7
198,1,132
194,1,201
202,1,100
203,1,142
7,1,204
142,1,60
7,3,110
60,1,205
206,1,201
200,1,62
60,3,75
75,3,60
75,3,7
60,3,209
7,1,210
210,1,7
60,1,142
149,1,209
7,3,207
7,1,96
200,-1,179
149,-1,179
56,2,60
202,1,211
211,1,202
104,1,149
104,3,60
167,1,211
206,2,7
202,1,212
212,1,202
212,1,209
212,4,60
101,1,134
60,2,213
213,2,60
212,1,132
212,1,29
153,2,143
35,2,110
215,1,143
29,1,212
135,1,152
7,-1,179
39,4,149
149,4,39
216,1,214
174,1,112
29,2,120
60,2,217
60,1,218
218,1,60
209,1,212
217,2,60
217,5,3
176,1,219
219,1,176
176,1,220
60,7,1
60,7,7
39,8,2
176,1,202
60,4,224
1,1,225
225,1,1
225,1,209
29,4,1
1,1,132
1,1,227
60,1,228
225,1,45
199,1,185
185,1,199
60,1,230
60,1,231
231,1,60
7,3,232
1,1,104
104,2,1
33,8,1
62,1,149
29,1,171
206,1,233
233,1,206
232,2,7
60,3,208
208,3,60
206,1,234
234,1,206
235,5,7
222,2,7
104,3,202
236,1,202
237,10,202
149,1,238
239,1,64
202,2,135
2,5,7
2,5,60
2,2,77
7,5,39
7,5,41
7,6,62
208,1,62
240,2,206
231,1,241
39,2,143
143,2,39
241,1,231
242,6,60
135,1,2
204,1,7
1,3,64
202,1,244
244,2,60
56,1,202
164,5,60
60,5,164
204,1,80
1,1,245
35,1,246
246,1,35
1,1,247
80,3,241
80,1,64
80,1,204
80,5,149
228,2,60
72,1,21
244,2,245
245,2,244
245,1,250
60,3,250
250,3,60
7,2,175
60,4,244
166,1,158
243,6,60
60,1,252
252,1,60
253,1,95
7,4,143
1,1,234
234,1,1
245,1,251
60,2,88
88,3,104
60,1,255
255,1,60
29,2,251
251,5,1
251,5,202
1,2,251
256,1,206
60,10,257
6,1,258
258,1,6
64,1,219
258,1,259
259,2,258
1,1,260
1,1,261
202,1,158
202,2,240
240,2,202
244,1,114
207,1,262
262,1,207
60,4,265
149,1,266
35,1,267
141,1,202
6,3,268
215,1,229
141,1,41
141,1,242
215,2,221
268,3,6
221,2,215
269,1,3
41,1,141
249,1,167
221,1,171
1,1,109
202,1,230
171,1,221
171,2,235
235,1,171
64,3,7
177,4,1
149,10,25
1,1,271
271,1,1
221,1,272
272,1,221
202,4,153
60,2,261
261,2,60
60,2,273
7,4,243
144,5,78
144,1,153
269,1,7
7,1,269
1,1,274
141,1,273
141,1,275
276,3,60
141,1,256
270,1,277
256,1,141
277,1,270
202,1,127
275,1,141
202,4,221
221,1,64
206,1,221
273,3,60
60,2,279
219,1,109
219,5,21
202,3,278
278,3,202
206,1,29
29,1,206
280,1,281
206,1,282
242,1,274
283,10,284
7,2,240
202,1,286
286,1,202
256,1,287
287,1,256
202,1,288
257,4,265
257,5,242
257,5,104
134,1,202
37,2,219
219,2,37
215,1,290
284,10,283
245,1,291
291,1,245
217,1,149
224,4,257
224,5,60
224,1,144
144,1,224
224,1,171
135,1,293
21,5,60
199,1,104
293,1,204
204,1,293
231,1,28
274,2,295
295,2,274
202,1,292
230,2,101
229,1,297
4,2,282
282,2,4
299,1,298
257,5,29
271,1,202
202,1,271
37,1,301
301,1,37
299,3,60
29,1,302
135,1,303
64,1,301
214,3,60
254,1,7
17,1,254
7,2,135
305,1,282
306,1,282
60,2,229
229,2,60
144,1,282
282,1,144
206,1,307
39,2,308
307,1,206
1,1,180
180,1,1
198,1,29
198,2,60
274,2,29
29,1,280
202,3,206
204,1,274
186,2,204
7,2,266
60,7,223
167,1,15
171,1,309
257,5,274
202,2,204
204,2,202
21,6,308
1,1,311
1,1,312
312,1,1
304,1,93
93,1,304
93,3,62
312,1,221
21,8,93
93,8,21
257,4,314
314,4,257
274,1,108
41,2,233
45,1,313
45,1,315
60,3,202
317,1,64
45,1,318
318,1,45
319,1,284
76,3,110
257,4,275
312,1,62
62,1,312
284,1,319
320,1,60
240,4,7
214,1,221
108,1,7
7,1,108
202,1,322
322,1,202
314,4,7
249,1,323
323,1,249
215,1,324
219,2,7
7,1,228
228,1,7
324,1,215
62,1,304
304,1,62
62,2,202
202,4,62
326,1,7
274,1,327
327,1,274
322,1,329
329,1,322
199,1,219
321,3,202
202,3,321
239,1,28
257,5,338
29,1,347
296,5,7
308,4,39
214,1,202
202,1,214
101,-10,315
257,6,268
249,1,349
257,3,283
257,3,336
251,1,35
239,1,219
219,1,239
266,2,350
350,2,266
60,1,340
60,1,21
324,1,204
346,1,345
321,1,215
215,1,321
62,3,293
293,3,62
202,5,7
202,2,251
352,1,4
7,4,202
353,1,144
144,1,353
7,1,354
354,1,7
64,1,353
141,1,285
353,2,350
355,1,135
356,1,202
310,5,7
41,2,357
324,1,202
202,1,324
304,1,1
353,1,304
257,5,359
346,1,257
204,1,324
60,3,254
1,2,139
139,1,202
202,1,139
139,2,1
359,3,257
257,5,244
359,3,60
270,1,135
135,1,270
37,2,93
285,3,360
285,2,7
288,1,307
202,7,4
324,1,1
144,1,366
249,1,367
367,1,249
7,1,368
254,3,60
39,3,298
298,3,39
325,2,62
358,3,7
358,3,202
202,3,358
228,1,293
249,1,62
356,1,370
249,1,371
371,1,249
