startnode,endnode
9907233,9301253
9907233,9504304
9907233,9506257
9907233,9606402
9907233,9607354
9907233,9611297
9907233,9702314
9907233,9803214
9907233,9903217
9704296,9311274
9704296,9606402
9704296,9607354
9704296,9611296
9704296,9611297
9606402,9301206
9606402,9502274
9606402,9503474
9606402,9505235
9607354,9504304
9607354,9505235
9607354,9606402
9702314,9302247
9702314,9501357
9702314,9501384
9702314,9504372
9702314,9511210
9803214,9301253
9803214,9702314
9803214,9706487
9611297,9302217
9611297,9405341
9611297,9409371
9611297,9504304
9611297,9508393
9611297,9602366
9611297,9606210
9611297,9610360
9903217,9301253
9903217,9502366
9903217,9605245
9903217,9610282
9903217,9702314
9903217,9803214
9903217,9803242
9903217,9804209
112133,104062
112133,112008
112133,9403384
112133,9501265
112133,9512380
112133,9712252
2171,9711261
2171,9810333
2171,9901418
2171,9908432
2171,9911280
9501265,9210215
9501265,9211304
9501265,9211321
9501265,9212203
9501265,9303284
9501265,9409335
104110,1113
104110,2227
104110,3323
104110,4004
104110,4173
104110,4213
104110,5006
104110,6022
104110,6124
104110,6225
104110,6357
104110,7038
104110,7136
104110,7256
104110,7360
104110,8004
104110,8018
104110,8216
104110,8255
104110,8273
104110,9042
104110,9054
104110,9210
104110,11238
104110,12152
104110,12271
104110,12308
104110,101190
104110,102012
104110,102077
104110,102219
104110,103211
104110,104018
104110,104062
104110,9211321
104110,9212203
104110,9304257
104110,9309283
104110,9404282
104110,9411308
104110,9509204
104110,9607366
104110,9703353
104110,9704423
104110,9707251
104110,9712225
104110,9712306
104110,9801443
104110,9802394
104110,9802433
104110,9804363
104110,9806468
104110,9808493
104110,9809311
104110,9809384
104110,9810260
104110,9812396
104110,9903456
104110,9905312
104110,9909564
104110,9910291
104110,9911427
104110,9911528
9712252,9403384
9712252,9512388
9712252,9704402
9712252,9707225
9712252,9711261
9512380,9207222
9512380,9209231
9512380,9211260
9512380,9211333
9512380,9212203
9512380,9302244
9512380,9303225
9512380,9303270
9512380,9303284
9512380,9304225
9512380,9304257
9512380,9307247
9512380,9307318
9512380,9307364
9512380,9308246
9512380,9308262
9512380,9308288
9512380,9308349
9512380,9309203
9512380,9310212
9512380,9310311
9512380,9311339
9512380,9311357
9512380,9312311
9512380,9312359
9512380,9401204
9512380,9402363
9512380,9403254
9512380,9403384
9512380,9403407
9512380,9405207
9512380,9405346
9512380,9405368
9512380,9406239
9512380,9406263
9512380,9407342
9512380,9408213
9512380,9408290
9512380,9408306
9512380,9408382
9512380,9408390
9512380,9408404
9512380,9409287
9512380,9409309
9512380,9409371
9512380,9409391
9512380,9409440
9512380,9411229
9512380,9411335
9512380,9412375
9512380,9501389
9512380,9502300
9512380,9502338
9512380,9502363
9512380,9505397
9512380,9507248
9512380,9507262
9512380,9508272
9512380,9510323
9512380,9510378
9512380,9908362
9403384,9302210
9403384,9303225
9403384,9307318
9403384,9308272
9403384,9310311
104062,2171
104062,4004
104062,4173
104062,6056
104062,6124
104062,7085
104062,7256
104062,7339
104062,8234
104062,8273
104062,11392
104062,12161
104062,12308
104062,103197
104062,9403384
104062,9408332
104062,9411367
104062,9501265
104062,9507262
104062,9508272
104062,9509204
104062,9512380
104062,9603256
104062,9607447
104062,9610449
104062,9612262
104062,9612313
104062,9703290
104062,9704376
104062,9709288
104062,9711217
104062,9803368
104062,9805303
104062,9806308
104062,9901288
104062,9904480
104062,9905312
104062,9907270
104062,9910236
104062,9910417
104062,9911280
12308,6225
12308,10071
12308,11086
12308,12215
12308,9310311
12308,9408332
12308,9507262
12308,9508272
12308,9512380
12308,9608365
12308,9610449
12308,9612262
12308,9704376
12308,9711217
12308,9801412
12308,9806230
12308,9806412
12308,9903535
12308,9908202
12308,9908520
12308,9909478
12308,9910291
12308,9910417
12308,9911280
9910236,9211304
9910236,9304257
9910236,9310311
9910236,9405283
9910236,9501265
9910236,9507262
9910236,9512356
9910236,9604240
9910236,9607392
9910236,9610455
9910236,9703353
9910236,9706260
9910236,9708222
9910236,9710245
9910236,9802300
9910236,9811472
9910236,9902334
9910236,9906434
9910236,9907335
9910236,9908442
9910236,9909530
9711261,9310311
9711261,9311339
9711261,9403249
9711261,9403384
9711261,9403407
9711261,9405207
9711261,9408290
9711261,9506477
9711261,9603261
9711261,9603414
9711261,9703290
112008,2041
112008,3090
112008,6136
